Ticket   || Tipo            || Data       || Pai      || Incidente       || Descrição                                          ||
ENS-8054 || Epic            || 2025-10-01 || ENS-8054 || 0               || Incidente-2025-10-01_EPIC II                       ||
ENS-8052 || Epic            || 2025-10-01 || ENS-8052 || 0               || Incidente-2025-10-01_EPIC I                        ||
ENS-8045 || História        || 2025-10-01 || ENS-8016 ||                 || [Alteração] Configuração IRIS 2025 no QA II        ||
ENS-8043 || História        || 2025-10-01 || ENS-8015 ||                 || [Alteração] Gestão de Demandas IV                  ||
ENS-8040 || História        || 2025-10-01 || ENS-8014 ||                 || [Alteração] Gestão de Demandas III                 ||
ENS-8039 || História        || 2025-10-01 || ENS-7942 ||                 || Apoio a testes UAT                                 ||
ENS-8037 || História        || 2025-10-01 || ENS-8013 ||                 || [Alteração] Gestão de Demandas II                  ||
ENS-8035 || História        || 2025-10-01 || ENS-8006 ||                 || [Alteração] Capacitação novos Gestores de Projeto  ||
ENS-8033 || História        || 2025-10-01 || ENS-8005 ||                 || [Alteração] Gestão de pendências                   ||
ENS-8031 || História        || 2025-10-01 || ENS-8003 ||                 || Atividade                                          ||
ENS-8029 || História        || 2025-10-01 || ENS-8002 ||                 || [Alteração] Configuração IRIS 2025 no QA           ||
ENS-8027 || História        || 2025-10-01 || ENS-8000 ||                 || [Alteração] Manutenção Databases                   ||
ENS-8026 || História        || 2025-10-01 || ENS-8010 ||                 || [Alteração] ZV48                                   ||
ENS-8023 || História        || 2025-10-01 || ENS-7999 ||                 || IAM reativação do ecossistema                      ||
ENS-8022 || História        || 2025-10-01 || ENS-8009 ||                 || [Alteração] ZF190- Febraban                        ||
ENS-8019 || História        || 2025-10-01 || ENS-8008 ||                 || [Alteração] RH -Email Colaborador/Liderança        ||
ENS-8016 || Epic            || 2025-10-01 || ENS-8016 || 0               || Incidente-2025-10-01_EPIC IX                       ||
ENS-8015 || Epic            || 2025-10-01 || ENS-8015 || 0               || Incidente-2025-10-01_EPIC VIII                     ||
ENS-8014 || Epic            || 2025-10-01 || ENS-8014 || 0               || Incidente-2025-10-01_EPIC VII                      ||
ENS-8013 || Epic            || 2025-10-01 || ENS-8013 || 0               || Incidente-2025-10-01_EPIC VI                       ||
ENS-8011 || História        || 2025-10-01 || ENS-8007 ||                 || [Alteração] -  Numeração de Equipamento [GUS > EAL ||
ENS-8010 || Epic            || 2025-10-01 || ENS-8010 || 0               || Incidente-2025-10-01_EPIC IV                       ||
ENS-8009 || Epic            || 2025-10-01 || ENS-8009 || 0               || Incidente-2025-10-01_EPIC III                      ||
ENS-8008 || Epic            || 2025-10-01 || ENS-8008 || 0               || Incidente-2025-10-01_EPIC II                       ||
ENS-8007 || Epic            || 2025-10-01 || ENS-8007 || 0               || Incidente-2025-10-01_EPIC I                        ||
ENS-8006 || Epic            || 2025-10-01 || ENS-8006 || 0               || Incidente-2025-10-01_EPIC V                        ||
ENS-8005 || Epic            || 2025-10-01 || ENS-8005 || 0               || Incidente-2025-10-01_EPIC IV                       ||
ENS-8003 || Epic            || 2025-10-01 || ENS-8003 || 0               || Incidente-2025-10-01_EPIC III                      ||
ENS-8002 || Epic            || 2025-10-01 || ENS-8002 || 0               || Incidente-2025-10-01_EPIC II                       ||
ENS-8001 || História        || 2025-10-01 || ENS-7614 ||                 || [Alteração] Teste e Desenvolvimento                ||
ENS-8000 || Epic            || 2025-10-01 || ENS-8000 || 0               || Incidente-2025-10-01_EPIC I                        ||
ENS-7999 || Epic            || 2025-10-01 || ENS-7999 || 0               || IAM reativação do ecossistema                      ||
ENS-7997 || História        || 2025-10-01 || ENS-7996 ||                 || [Alteração] Atividades Administrativas             ||
ENS-7996 || Epic            || 2025-10-01 || ENS-7996 || 0               || Atividades Administrativas                         ||
ENS-7994 || História        || 2025-10-01 || ENS-7737 ||                 || [Alteração] Alteração IRIS MOBI                    ||
ENS-7989 || História        || 2025-09-23 || ENS-7614 ||                 || [Alteração] Desenvolvimento                        ||
ENS-7985 || História        || 2025-09-22 || ENS-7956 ||                 || [Alteração] Alinhamentos IRIS                      ||
ENS-7984 || História        || 2025-09-22 || ENS-7955 ||                 || [Alteração] Alinhamentos IRIS                      ||
ENS-7982 || História        || 2025-09-22 || ENS-7954 ||                 || [Alteração] Alinhamentos IRIS                      ||
ENS-7980 || História        || 2025-09-22 || ENS-7953 ||                 || [Alteração] Alinhamentos IRIS                      ||
ENS-7978 || História        || 2025-09-22 || ENS-7952 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-7976 || História        || 2025-09-22 || ENS-7951 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-7974 || História        || 2025-09-22 || ENS-7950 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-7972 || História        || 2025-09-22 || ENS-7948 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-7970 || História        || 2025-09-22 || ENS-7947 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-7967 || História        || 2025-09-22 || ENS-7946 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-7966 || História        || 2025-09-22 || ENS-7945 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-7964 || História        || 2025-09-22 || ENS-7944 ||                 || [Alteração] Apoio EOX / Pricing                    ||
ENS-7962 || História        || 2025-09-22 || ENS-7949 ||                 || [Alteração] Apoio EOX / Pricing                    ||
ENS-7959 || História        || 2025-09-22 || ENS-7943 ||                 || [Alteração] Apoio EOX / Pricing                    ||
ENS-7957 || História        || 2025-09-22 || ENS-7942 ||                 || [Alteração] Apoio a testes UAT                     ||
ENS-7956 || Epic            || 2025-09-22 || ENS-7956 || 0               || Incidente-2025-9-17_EPIC XV                        ||
ENS-7955 || Epic            || 2025-09-22 || ENS-7955 || 0               || Incidente-2025-9-17_EPIC XIV                       ||
ENS-7954 || Epic            || 2025-09-22 || ENS-7954 || 0               || Incidente-2025-9-17_EPIC XIII                      ||
ENS-7953 || Epic            || 2025-09-22 || ENS-7953 || 0               || Incidente-2025-9-17_EPIC XII                       ||
ENS-7952 || Epic            || 2025-09-22 || ENS-7952 || 0               || Incidente-2025-9-17_EPIC XI                        ||
ENS-7951 || Epic            || 2025-09-22 || ENS-7951 || 0               || Incidente-2025-9-17_EPIC X                         ||
ENS-7950 || Epic            || 2025-09-22 || ENS-7950 || 0               || Incidente-2025-9-17_EPIC IX                        ||
ENS-7949 || Epic            || 2025-09-22 || ENS-7949 || 0               || Incidente-2025-9-17_EPIC VIII                      ||
ENS-7948 || Epic            || 2025-09-22 || ENS-7948 || 0               || Incidente-2025-9-17_EPIC VII                       ||
ENS-7947 || Epic            || 2025-09-22 || ENS-7947 || 0               || Incidente-2025-9-17_EPIC VI                        ||
ENS-7946 || Epic            || 2025-09-22 || ENS-7946 || 0               || Incidente-2025-9-17_EPIC V                         ||
ENS-7945 || Epic            || 2025-09-22 || ENS-7945 || 0               || Incidente-2025-9-17_EPIC IV                        ||
ENS-7944 || Epic            || 2025-09-22 || ENS-7944 || 0               || Incidente-2025-9-17_EPIC II                        ||
ENS-7943 || Epic            || 2025-09-22 || ENS-7943 || 0               || Incidente-2025-9-17_EPIC I                         ||
ENS-7942 || Epic            || 2025-09-22 || ENS-7942 || SCTASK0517284   || Apoio a testes UAT                                 ||
ENS-7940 || História        || 2025-09-22 || ENS-7915 ||                 || [Alteração] Portal de Integração                   ||
ENS-7938 || História        || 2025-09-22 || ENS-7914 ||                 || [Alteração] Portal de Integração                   ||
ENS-7936 || História        || 2025-09-22 || ENS-7913 ||                 || [Alteração] MAX                                    ||
ENS-7934 || História        || 2025-09-22 || ENS-7912 ||                 || [Alteração] TKE - Manutenção Databases - Execução  ||
ENS-7932 || História        || 2025-09-22 || ENS-7911 ||                 || [Alteração] Drummer                                ||
ENS-7930 || História        || 2025-09-22 || ENS-7910 ||                 || [Alteração] Erro na API da interface CEF – Débito  ||
ENS-7928 || História        || 2025-09-22 || ENS-7909 ||                 || [Alteração] CAB                                    ||
ENS-7926 || História        || 2025-09-22 || ENS-7908 ||                 || [Alteração] API da CEF -SAP                        ||
ENS-7924 || História        || 2025-09-22 || ENS-7907 ||                 || [Alteração] IRIS Status                            ||
ENS-7922 || História        || 2025-09-22 || ENS-7906 ||                 || [Alteração] IRIS Status                            ||
ENS-7920 || História        || 2025-09-22 || ENS-7905 ||                 || [Alteração] CAB                                    ||
ENS-7918 || História        || 2025-09-22 || ENS-7815 ||                 || [Alteração] Apoio a UAT (User Acceptence Test)     ||
ENS-7916 || História        || 2025-09-22 || ENS-7766 ||                 || [Alteração] ZK53 – Carga: atual → fim FY           ||
ENS-7915 || Epic            || 2025-09-22 || ENS-7915 || 0               || Incidente-2025-9-17_EPIC XI                        ||
ENS-7914 || Epic            || 2025-09-22 || ENS-7914 || 0               || Incidente-2025-9-17_EPIC X                         ||
ENS-7913 || Epic            || 2025-09-22 || ENS-7913 || 0               || Incidente-2025-9-17_EPIC IX                        ||
ENS-7912 || Epic            || 2025-09-22 || ENS-7912 || 0               || Incidente-2025-9-17_EPIC VIII                      ||
ENS-7911 || Epic            || 2025-09-22 || ENS-7911 || 0               || Incidente-2025-9-17_EPIC VII                       ||
ENS-7910 || Epic            || 2025-09-22 || ENS-7910 || 0               || Incidente-2025-9-17_EPIC VI                        ||
ENS-7909 || Epic            || 2025-09-22 || ENS-7909 || 0               || Incidente-2025-9-17_EPIC V                         ||
ENS-7908 || Epic            || 2025-09-22 || ENS-7908 || 0               || Incidente-2025-9-17_EPIC IV                        ||
ENS-7907 || Epic            || 2025-09-22 || ENS-7907 || 0               || Incidente-2025-9-17_EPIC III                       ||
ENS-7906 || Epic            || 2025-09-22 || ENS-7906 || 0               || Incidente-2025-9-17_EPIC II                        ||
ENS-7905 || Epic            || 2025-09-22 || ENS-7905 || 0               || Incidente-2025-9-17_EPIC I                         ||
ENS-7904 || Epic            || 2025-09-22 || ENS-7904 || SCTASK0504397   || Apoio a UAT (User Acceptence Test)                 ||
ENS-7901 || História        || 2025-09-19 || ENS-7893 ||                 || [Alteração] - Automatic Loading sharepoint INC6368 ||
ENS-7900 || História        || 2025-09-19 || ENS-7892 ||                 || [Alteração] -  Arquivos Febraban                   ||
ENS-7898 || História        || 2025-09-19 || ENS-7891 ||                 || [Alteração] -  Apoio problema em Cadastro de propo ||
ENS-7896 || História        || 2025-09-19 || ENS-7890 ||                 || [Novo Desenvolvimento]  - Lemontech                ||
ENS-7893 || Epic            || 2025-09-19 || ENS-7893 || SCTASK0494199   || Incidente-2025-9-17_EPIC IV                        ||
ENS-7892 || Epic            || 2025-09-19 || ENS-7892 || SCTASK0494199   || Incidente-2025-9-17_EPIC III                       ||
ENS-7891 || Epic            || 2025-09-19 || ENS-7891 || SCTASK0494199   || Incidente-2025-9-17_EPIC II                        ||
ENS-7890 || Epic            || 2025-09-19 || ENS-7890 || SCTASK0435426   || Incidente-2025-9-17_EPIC I                         ||
ENS-7885 || História        || 2025-09-19 || ENS-7868 ||                 || [Alteração] Demandas Técnicas Internas             ||
ENS-7884 || História        || 2025-09-19 || ENS-7867 ||                 || [Alteração] IAM                                    ||
ENS-7883 || História        || 2025-09-19 || ENS-7866 ||                 || [Alteração] Levantamento para Desligamento JSPV    ||
ENS-7881 || História        || 2025-09-19 || ENS-7865 ||                 || [Alteração] TKE | Atualização patches IRIS PRD II  ||
ENS-7879 || História        || 2025-09-19 || ENS-7864 ||                 || [Alteração] Gestão de demandas                     ||
ENS-7877 || História        || 2025-09-19 || ENS-7863 ||                 || [Alteração] TKE | Atualização patches IRIS PRD     ||
ENS-7875 || História        || 2025-09-19 || ENS-7862 ||                 || [Alteração] MIGRAÇÃO SAP TQA -> AZURE II           ||
ENS-7873 || História        || 2025-09-19 || ENS-7861 ||                 || [Alteração] MIGRAÇÃO SAP TQA -> AZURE              ||
ENS-7871 || História        || 2025-09-19 || ENS-7860 ||                 || [Alteração] IAM reativação do ecossistema          ||
ENS-7869 || História        || 2025-09-19 || ENS-7859 ||                 || [Alteração] Atividades Administrativas             ||
ENS-7868 || Epic            || 2025-09-19 || ENS-7868 || 0               || Incidente-2025-9-17_EPIC VIII                      ||
ENS-7867 || Epic            || 2025-09-19 || ENS-7867 || 0               || Incidente-2025-9-17_EPIC VII                       ||
ENS-7866 || Epic            || 2025-09-19 || ENS-7866 || 0               || Incidente-2025-9-17_EPIC VI                        ||
ENS-7865 || Epic            || 2025-09-19 || ENS-7865 || 0               || Incidente-2025-9-17_EPIC V                         ||
ENS-7864 || Epic            || 2025-09-19 || ENS-7864 || 0               || Incidente-2025-9-17_EPIC IV                        ||
ENS-7863 || Epic            || 2025-09-19 || ENS-7863 || 0               || Incidente-2025-9-17_EPIC III                       ||
ENS-7862 || Epic            || 2025-09-19 || ENS-7862 || 0               || Incidente-2025-9-17_EPIC II                        ||
ENS-7861 || Epic            || 2025-09-19 || ENS-7861 || 0               || Incidente-2025-9-17_EPIC I                         ||
ENS-7860 || Epic            || 2025-09-19 || ENS-7860 || 0               || IAM reativação do ecossistema                      ||
ENS-7859 || Epic            || 2025-09-19 || ENS-7859 || 0               || Atividades Administrativas                         ||
ENS-7856 || História        || 2025-09-09 || ENS-7827 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-7854 || História        || 2025-09-09 || ENS-7826 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-7852 || História        || 2025-09-09 || ENS-7825 ||                 || [Alteração] Importa NFe Protocolo - ZV47_Prot - Er ||
ENS-7850 || História        || 2025-09-09 || ENS-7824 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-7848 || História        || 2025-09-09 || ENS-7823 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-7846 || História        || 2025-09-09 || ENS-7822 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-7844 || História        || 2025-09-09 || ENS-7821 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-7842 || História        || 2025-09-09 || ENS-7820 ||                 ||  [Alteração] Atividades Internas IRIS              ||
ENS-7840 || História        || 2025-09-09 || ENS-7819 ||                 || [Alteração] Alinhamentos IRIS                      ||
ENS-7838 || História        || 2025-09-09 || ENS-7818 ||                 || [Alteração] Alinhamentos IRIS                      ||
ENS-7836 || História        || 2025-09-09 || ENS-7817 ||                 || [Alteração] Alinhamentos IRIS                      ||
ENS-7834 || História        || 2025-09-09 || ENS-7816 ||                 || [Alteração] Alinhamentos IRIS                      ||
ENS-7832 || História        || 2025-09-09 || ENS-7815 ||                 || [Alteração] Apoio para UAT, atualizando os .p info ||
ENS-7830 || História        || 2025-09-09 || ENS-7814 ||                 || [Alteração] Apoio para SIT & UAT                   ||
ENS-7828 || História        || 2025-09-09 || ENS-7813 ||                 || [Alteração] Apoio para SIT & UAT                   ||
ENS-7827 || Epic            || 2025-09-09 || ENS-7827 || 0               || Incidente-2025-9-03_EPIC XII                       ||
ENS-7826 || Epic            || 2025-09-09 || ENS-7826 || 0               || Incidente-2025-9-03_EPIC XI                        ||
ENS-7825 || Epic            || 2025-09-09 || ENS-7825 || 0               || Incidente-2025-9-03_EPIC X                         ||
ENS-7824 || Epic            || 2025-09-09 || ENS-7824 || 0               || Incidente-2025-9-03_EPIC IX                        ||
ENS-7823 || Epic            || 2025-09-09 || ENS-7823 || 0               || Incidente-2025-9-03_EPIC VIII                      ||
ENS-7822 || Epic            || 2025-09-09 || ENS-7822 || 0               || Incidente-2025-9-03_EPIC VII                       ||
ENS-7821 || Epic            || 2025-09-09 || ENS-7821 || 0               || Incidente-2025-9-03_EPIC VI                        ||
ENS-7820 || Epic            || 2025-09-09 || ENS-7820 || 0               || Incidente-2025-9-03_EPIC V                         ||
ENS-7819 || Epic            || 2025-09-09 || ENS-7819 || 0               || Incidente-2025-9-03_EPIC IV                        ||
ENS-7818 || Epic            || 2025-09-09 || ENS-7818 || 0               || Incidente-2025-9-03_EPIC III                       ||
ENS-7817 || Epic            || 2025-09-09 || ENS-7817 || 0               || Incidente-2025-9-03_EPIC II                        ||
ENS-7816 || Epic            || 2025-09-09 || ENS-7816 || 0               || Incidente-2025-9-03_EPIC I                         ||
ENS-7815 || Epic            || 2025-09-09 || ENS-7815 || SCTASK0504397   || Apoio para UAT, atualizando os .p informados para  ||
ENS-7814 || Epic            || 2025-09-09 || ENS-7814 || SCTASK0504383   || Apoio para SIT & UAT                               ||
ENS-7813 || Epic            || 2025-09-09 || ENS-7813 || SCTASK0435860   || Apoio para SIT & UAT                               ||
ENS-7809 || História        || 2025-09-08 || ENS-7780 ||                 || [Alteração] Max SoapUI                             ||
ENS-7807 || História        || 2025-09-08 || ENS-7779 ||                 || [Alteração] Max SoapUI                             ||
ENS-7805 || História        || 2025-09-08 || ENS-7778 ||                 || [Alteração] Max SoapUI                             ||
ENS-7803 || História        || 2025-09-08 || ENS-7777 ||                 || [Alteração] Max SoapUI                             ||
ENS-7801 || História        || 2025-09-08 || ENS-7776 ||                 || [Alteração] CEP                                    ||
ENS-7799 || História        || 2025-09-08 || ENS-7775 ||                 || [Alteração] CEP                                    ||
ENS-7797 || História        || 2025-09-08 || ENS-7774 ||                 || [Alteração] TKE | Janela IRIS QA                   ||
ENS-7795 || História        || 2025-09-08 || ENS-7773 ||                 || [Alteração] TKE | Janela IRIS QA                   ||
ENS-7793 || História        || 2025-09-08 || ENS-7772 ||                 || [Alteração] TKE | Janela IRIS QA                   ||
ENS-7791 || História        || 2025-09-08 || ENS-7771 ||                 || [Alteração] IRIS status                            ||
ENS-7789 || História        || 2025-09-08 || ENS-7770 ||                 || [Alteração] IRIS status                            ||
ENS-7787 || História        || 2025-09-08 || ENS-7769 ||                 || [Alteração] CAB                                    ||
ENS-7785 || História        || 2025-09-08 || ENS-7768 ||                 || [Alteração] CAB                                    ||
ENS-7783 || História        || 2025-09-08 || ENS-7767 ||                 || [Alteração] CAB                                    ||
ENS-7781 || História        || 2025-09-08 || ENS-7766 ||                 || [Alteração]  ZK53 - Agenda para carga complementar ||
ENS-7780 || Epic            || 2025-09-08 || ENS-7780 || 0               || Incidente-2025-9-03_EPIC XIV                       ||
ENS-7779 || Epic            || 2025-09-08 || ENS-7779 || 0               || Incidente-2025-9-03_EPIC XIII                      ||
ENS-7778 || Epic            || 2025-09-08 || ENS-7778 || 0               || Incidente-2025-9-03_EPIC XII                       ||
ENS-7777 || Epic            || 2025-09-08 || ENS-7777 || 0               || Incidente-2025-9-03_EPIC XI                        ||
ENS-7776 || Epic            || 2025-09-08 || ENS-7776 || 0               || Incidente-2025-9-03_EPIC X                         ||
ENS-7775 || Epic            || 2025-09-08 || ENS-7775 || 0               || Incidente-2025-9-03_EPIC IX                        ||
ENS-7774 || Epic            || 2025-09-08 || ENS-7774 || 0               || Incidente-2025-9-03_EPIC VIII                      ||
ENS-7773 || Epic            || 2025-09-08 || ENS-7773 || 0               || Incidente-2025-9-03_EPIC VII                       ||
ENS-7772 || Epic            || 2025-09-08 || ENS-7772 || 0               || Incidente-2025-9-03_EPIC VI                        ||
ENS-7771 || Epic            || 2025-09-08 || ENS-7771 || 0               || Incidente-2025-9-03_EPIC V                         ||
ENS-7770 || Epic            || 2025-09-08 || ENS-7770 || 0               || Incidente-2025-9-03_EPIC IV                        ||
ENS-7769 || Epic            || 2025-09-08 || ENS-7769 || 0               || Incidente-2025-9-03_EPIC III                       ||
ENS-7768 || Epic            || 2025-09-08 || ENS-7768 || 0               || Incidente-2025-9-03_EPIC II                        ||
ENS-7767 || Epic            || 2025-09-08 || ENS-7767 || 0               || Incidente-2025-9-03_EPIC I                         ||
ENS-7766 || Epic            || 2025-09-08 || ENS-7766 || SCTASK0501210   || ZK53 - Agenda para carga complementar do mês atual ||
ENS-7764 || História        || 2025-09-08 || ENS-7743 ||                 || [Alteração] Demandas Internas IV                   ||
ENS-7762 || História        || 2025-09-08 || ENS-7742 ||                 || [Alteração] SRVIRISQA WU                           ||
ENS-7760 || História        || 2025-09-08 || ENS-7741 ||                 || [Alteração] Demandas Internas III                  ||
ENS-7758 || História        || 2025-09-08 || ENS-7740 ||                 || [Alteração] Demandas Internas II                   ||
ENS-7756 || História        || 2025-09-08 || ENS-7739 ||                 || [Alteração] Demandas Internas                      ||
ENS-7754 || História        || 2025-09-08 || ENS-7738 ||                 || [Alteração] Atividades Administrativas II          ||
ENS-7752 || História        || 2025-09-08 || ENS-7737 ||                 || Alteração IRIS MOBI                                ||
ENS-7750 || História        || 2025-09-08 || ENS-7736 ||                 || [Alteração] Portal de Log                          ||
ENS-7748 || História        || 2025-09-08 || ENS-7735 ||                 || [Alteração] IAM reativação do ecossistema          ||
ENS-7746 || História        || 2025-09-08 || ENS-7734 ||                 || [Alteração] Atividades Administrativas             ||
ENS-7744 || História        || 2025-09-08 || ENS-7733 ||                 || [Alteração] Alternativas para ZINTERFACELOTE2      ||
ENS-7743 || Epic            || 2025-09-08 || ENS-7743 || 0               || Incidente-2025-9-03_EPIC VI                        ||
ENS-7742 || Epic            || 2025-09-08 || ENS-7742 || 0               || Incidente-2025-9-03_EPIC V                         ||
ENS-7741 || Epic            || 2025-09-08 || ENS-7741 || 0               || Incidente-2025-9-03_EPIC IV                        ||
ENS-7740 || Epic            || 2025-09-08 || ENS-7740 || 0               || Incidente-2025-9-03_EPIC III                       ||
ENS-7739 || Epic            || 2025-09-08 || ENS-7739 || 0               || Incidente-2025-9-03_EPIC II                        ||
ENS-7738 || Epic            || 2025-09-08 || ENS-7738 || 0               || Incidente-2025-9-03_EPIC I                         ||
ENS-7737 || Epic            || 2025-09-08 || ENS-7737 || SCTASK0493057   || Alteração IRIS MOBI                                ||
ENS-7736 || Epic            || 2025-09-08 || ENS-7736 || SCTASK0489546   || Portal de Log                                      ||
ENS-7735 || Epic            || 2025-09-08 || ENS-7735 || 0               || IAM reativação do ecossistema                      ||
ENS-7734 || Epic            || 2025-09-08 || ENS-7734 || 0               || Atividades Administrativas                         ||
ENS-7733 || Epic            || 2025-09-08 || ENS-7733 || 0               || Alternativas para ZINTERFACELOTE2                  ||
ENS-7729 || História        || 2025-08-27 || ENS-7702 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-7727 || História        || 2025-08-27 || ENS-7701 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-7725 || História        || 2025-08-27 || ENS-7700 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-7723 || História        || 2025-08-27 || ENS-7699 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-7721 || História        || 2025-08-27 || ENS-7698 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-7719 || História        || 2025-08-27 || ENS-7697 ||                 || [Alteração] War Room SAP                           ||
ENS-7717 || História        || 2025-08-27 || ENS-7696 ||                 || [Alteração] War Room SAP                           ||
ENS-7715 || História        || 2025-08-27 || ENS-7695 ||                 || [Alteração] Alinhamento Interno IRIS               ||
ENS-7713 || História        || 2025-08-27 || ENS-7694 ||                 || [Alteração] Alinhamento Interno IRIS               ||
ENS-7711 || História        || 2025-08-27 || ENS-7693 ||                 || [Alteração] Alinhamento Interno IRIS               ||
ENS-7709 || História        || 2025-08-27 || ENS-7692 ||                 || [Alteração] Alinhamento Interno IRIS               ||
ENS-7707 || História        || 2025-08-27 || ENS-7691 ||                 || [Alteração] Alinhamento Interno IRIS               ||
ENS-7705 || História        || 2025-08-27 || ENS-7690 ||                 || Apoio para ajustar Interface Z_RFC_MMCP21 para rec ||
ENS-7703 || História        || 2025-08-27 || ENS-7689 ||                 || Envio de email do GUS, ajuda para identificar o pr ||
ENS-7702 || Epic            || 2025-08-27 || ENS-7702 || 0               || Incidente-2025-08-20_EPIC XII                      ||
ENS-7701 || Epic            || 2025-08-27 || ENS-7701 || 0               || Incidente-2025-08-20_EPIC XI                       ||
ENS-7700 || Epic            || 2025-08-27 || ENS-7700 || 0               || Incidente-2025-08-20_EPIC X                        ||
ENS-7699 || Epic            || 2025-08-27 || ENS-7699 || 0               || Incidente-2025-08-20_EPIC IX                       ||
ENS-7698 || Epic            || 2025-08-27 || ENS-7698 || 0               || Incidente-2025-08-20_EPIC VIII                     ||
ENS-7697 || Epic            || 2025-08-27 || ENS-7697 || 0               || Incidente-2025-08-20_EPIC VII                      ||
ENS-7696 || Epic            || 2025-08-27 || ENS-7696 || 0               || Incidente-2025-08-20_EPIC VI                       ||
ENS-7695 || Epic            || 2025-08-27 || ENS-7695 || 0               || Incidente-2025-08-20_EPIC V                        ||
ENS-7694 || Epic            || 2025-08-27 || ENS-7694 || 0               || Incidente-2025-08-20_EPIC IV                       ||
ENS-7693 || Epic            || 2025-08-27 || ENS-7693 || 0               || Incidente-2025-08-20_EPIC III                      ||
ENS-7692 || Epic            || 2025-08-27 || ENS-7692 || 0               || Incidente-2025-08-20_EPIC II                       ||
ENS-7691 || Epic            || 2025-08-27 || ENS-7691 || 0               || Incidente-2025-08-20_EPIC I                        ||
ENS-7690 || Epic            || 2025-08-27 || ENS-7690 || SCTASK0487543   || Apoio para ajustar Interface Z_RFC_MMCP21 para rec ||
ENS-7689 || Epic            || 2025-08-27 || ENS-7689 || SCTASK0488918   || Envio de email do GUS, ajuda para identificar o pr ||
ENS-7684 || História        || 2025-08-27 || ENS-7655 ||                 || [Alteração] Teste no LiftDesigner                  ||
ENS-7682 || História        || 2025-08-27 || ENS-7654 ||                 || [Alteração] Teste no LiftDesigner                  ||
ENS-7680 || História        || 2025-08-27 || ENS-7653 ||                 || [Alteração] Teste no LiftDesigner                  ||
ENS-7678 || História        || 2025-08-27 || ENS-7652 ||                 || [Alteração] Erro no LiftDesigner                   ||
ENS-7676 || História        || 2025-08-27 || ENS-7651 ||                 || [Alteração] Erro no LiftDesigner                   ||
ENS-7674 || História        || 2025-08-27 || ENS-7650 ||                 || [Alteração] CIELO                                  ||
ENS-7672 || História        || 2025-08-27 || ENS-7649 ||                 || [Alteração] Cielo                                  ||
ENS-7670 || História        || 2025-08-27 || ENS-7648 ||                 || [Alteração] War Room SAP                           ||
ENS-7668 || História        || 2025-08-27 || ENS-7647 ||                 || [Alteração] War Room SAP                           ||
ENS-7666 || História        || 2025-08-27 || ENS-7646 ||                 || [Alteração] War Room SAP                           ||
ENS-7664 || História        || 2025-08-27 || ENS-7645 ||                 || [Alteração]  Análise ZF004                         ||
ENS-7662 || História        || 2025-08-27 || ENS-7644 ||                 || [Alteração]  Análise ZF004                         ||
ENS-7660 || História        || 2025-08-27 || ENS-7643 ||                 || [Alteração] Monthly Service Meeting -IRIS          ||
ENS-7658 || História        || 2025-08-27 || ENS-7642 ||                 || [Alteração] Reunião IRIS                           ||
ENS-7656 || História        || 2025-08-27 || ENS-7641 ||                 || [Alteração] Reunião IRIS                           ||
ENS-7655 || Epic            || 2025-08-27 || ENS-7655 || 0               || Incidente-2025-08-20_EPIC XV                       ||
ENS-7654 || Epic            || 2025-08-27 || ENS-7654 || 0               || Incidente-2025-08-20_EPIC XIV                      ||
ENS-7653 || Epic            || 2025-08-27 || ENS-7653 || 0               || Incidente-2025-08-20_EPIC XIII                     ||
ENS-7652 || Epic            || 2025-08-27 || ENS-7652 || 0               || Incidente-2025-08-20_EPIC XII                      ||
ENS-7651 || Epic            || 2025-08-27 || ENS-7651 || 0               || Incidente-2025-08-20_EPIC XI                       ||
ENS-7650 || Epic            || 2025-08-27 || ENS-7650 || 0               || Incidente-2025-08-20_EPIC X                        ||
ENS-7649 || Epic            || 2025-08-27 || ENS-7649 || 0               || Incidente-2025-08-20_EPIC IX                       ||
ENS-7648 || Epic            || 2025-08-27 || ENS-7648 || 0               || Incidente-2025-08-20_EPIC VIII                     ||
ENS-7647 || Epic            || 2025-08-27 || ENS-7647 || 0               || Incidente-2025-08-20_EPIC VII                      ||
ENS-7646 || Epic            || 2025-08-27 || ENS-7646 || 0               || Incidente-2025-08-20_EPIC VI                       ||
